Order ID,Product Name,Quantity,Reason
gid://shopify/Order/5349270192261,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349272191109,"Queer Earth Food Volume 3: A Collection of Writing and Art on Food, the Earth, and Queerness",1,Invalid barcode
gid://shopify/Order/5349272191109,Postcard<<<<<<<<<<<<<<<<<,6,Invalid barcode
gid://shopify/Order/5349272387717,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349277827205,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349279236229,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349281792133,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349282971781,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349285101701,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349285789829,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349286936709,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349288018053,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349289263237,From the Hill by the Sea,1,Invalid barcode
gid://shopify/Order/5349289263237,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",2,Invalid barcode
gid://shopify/Order/5349292081285,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349293064325,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349300174981,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349300764805,Asif Journal: A Culinary Digest #3,1,Invalid barcode
gid://shopify/Order/5349301977221,Midweek Recipes: Simple Cooking from an Edinburgh Studio,1,Invalid barcode
gid://shopify/Order/5349303386245,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349310136453,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349312266373,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349319606405,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349323374725,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349327077509,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349327765637,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349337399429,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349346181253,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349372887173,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349379309701,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",2,Invalid barcode
gid://shopify/Order/5349390450821,McAtlas: A Global Guide to the Golden Arches (standard edition),1,Invalid barcode
gid://shopify/Order/5349391761541,Kitchen Arts & Letters Gift Card - $100.00,1,Invalid barcode
gid://shopify/Order/5349394743429,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
gid://shopify/Order/5349398151301,"East Village Cookbook: Adventures, Anecdotes, and Tales of a Downtown New York Community Told Through Our Food",1,Invalid barcode
