Order ID,Product Name,Quantity,Reason
gid://shopify/Order/5305737052293,Angelina Paris 1903: 50 Recettes Iconiques d'une Institution Parisienne,1,Barcode does not start with 978
gid://shopify/Order/5305809633413,The Art of the Neapolitan Pizzaiuolo from Tradition to Innovation,1,Barcode does not start with 978
gid://shopify/Order/5305824346245,So Good #32: The Magazine of Haute Pâtisserie,1,Barcode does not start with 978
gid://shopify/Order/5305824346245,So Good #31: The Magazine of Haute Pâtisserie,1,Barcode does not start with 978
gid://shopify/Order/5305833062533,Boka: The Cookbook,1,Barcode does not start with 978
gid://shopify/Order/5305851019397,"Tacos CDMX, Second Edition",1,Barcode does not start with 978
gid://shopify/Order/5305851019397,Eclair: Garuharu Master Book Series 1,1,Barcode does not start with 978
gid://shopify/Order/5306051264645,Midweek Recipes: Simple Cooking from an Edinburgh Studio,1,Barcode does not start with 978
gid://shopify/Order/5306416627845,So Good Recipes 3,1,Barcode does not start with 978
gid://shopify/Order/5306509131909,OP: Simple to Spectacular,3,Missing variant
gid://shopify/Order/5306567950469,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5306583056517,Saveur Magazine—Fall/Winter 2024,1,Barcode does not start with 978
gid://shopify/Order/5306584596613,The Irish Bakery,1,Barcode does not start with 978
gid://shopify/Order/5306600685701,"Tacos CDMX, Second Edition",1,Barcode does not start with 978
gid://shopify/Order/5306624606341,"Queer Earth Food Volume 2: A Collection of Writing and Art on Food, the Earth, and Queerness",1,Barcode does not start with 978
gid://shopify/Order/5306624606341,"Queer Earth Food Volume 3: A Collection of Writing and Art on Food, the Earth, and Queerness",1,Barcode does not start with 978
gid://shopify/Order/5306633486469,OP: Classic Home Desserts,1,Missing variant
gid://shopify/Order/5306633486469,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5306656718981,Postcard<<<<<<<<<<<<<<<<<,8,Barcode does not start with 978
gid://shopify/Order/5306656718981,KAL Postcard,1,Barcode does not start with 978
gid://shopify/Order/5306656718981,"Menu No 5: Beef, Mustard, Crab, Fresh Chilies, Dried Chilies, Butter",1,Barcode does not start with 978
gid://shopify/Order/5306656718981,"Menu No 8: Shrimp, Corn, Pumpkin, Chili, Orange, Vanilla",1,Barcode does not start with 978
gid://shopify/Order/5306656718981,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5306717307013,Postcard<<<<<<<<<<<<<<<<<,1,Barcode does not start with 978
gid://shopify/Order/5306717307013,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5306766262405,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5306816790661,The Irish Bakery,1,Barcode does not start with 978
gid://shopify/Order/5306852245637,The Cape Malay Illustrated Cookbook,1,Missing variant
gid://shopify/Order/5306852245637,Leith’s Indian and Sri Lankan,1,Missing variant
gid://shopify/Order/5306852245637,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5306853490821,Card 4.95,2,Barcode does not start with 978
gid://shopify/Order/5306856833157,OP: Plum Crazy: A Book About Beach Plums,1,Barcode does not start with 978
gid://shopify/Order/5306859978885,OP: The Y.W.C.A. Cook Book,1,Barcode does not start with 978
gid://shopify/Order/5306860470405,OP: Plum Crazy: A Book About Beach Plums,1,Barcode does not start with 978
gid://shopify/Order/5306866204805,OP: Princess Pamela's Soul Food Cookbook,1,Barcode does not start with 978
gid://shopify/Order/5306866204805,OP: Adam's Luxury and Eve's Cookery,1,Barcode does not start with 978
gid://shopify/Order/5306870726789,OP: The Penguin Elizabeth David Cookery Book Set (5 vols),1,Barcode does not start with 978
gid://shopify/Order/5306873413765,OP: Secrets of Meat Curing and Sausage Making (second edition),1,Barcode does not start with 978
gid://shopify/Order/5306884718725,OP: The Antisocial Cookbook,1,Barcode does not start with 978
gid://shopify/Order/5306889011333,OP: Secrets of Meat Curing and Sausage Making (fourth edition),1,Barcode does not start with 978
gid://shopify/Order/5306894581893,OP: New Ways for Oysters,1,Barcode does not start with 978
gid://shopify/Order/5306894581893,OP: The Book of Sauces,1,Barcode does not start with 978
gid://shopify/Order/5306894581893,OP: The Vest Pocket Vegetable Book,1,Barcode does not start with 978
gid://shopify/Order/5306894581893,OP: A Selection of Dishes and the Chef's Reminder,1,Barcode does not start with 978
gid://shopify/Order/5306896777349,OP: Plum Crazy: A Book About Beach Plums,1,Barcode does not start with 978
gid://shopify/Order/5306900185221,OP: Adam's Luxury and Eve's Cookery,1,Barcode does not start with 978
gid://shopify/Order/5306960609413,OP: Mets de Provence: Cuisine Provencale,1,Barcode does not start with 978
gid://shopify/Order/5306961035397,-12°C Gelato,1,Barcode does not start with 978
gid://shopify/Order/5306980794501,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5306984530053,OP: The Book of Sauces,1,Barcode does not start with 978
gid://shopify/Order/5307031027845,Pasta: The Guide to the Most Loved Italian Food by ItaliaSquisita,1,Barcode does not start with 978
gid://shopify/Order/5307042726021,OP: Alchemist's Cookbook (paperback),1,Barcode does not start with 978
gid://shopify/Order/5307069268101,Art Culinaire #146,1,Barcode does not start with 978
gid://shopify/Order/5307069268101,Art Culinaire #147,1,Barcode does not start with 978
gid://shopify/Order/5307069268101,Art Culinaire #148,1,Barcode does not start with 978
gid://shopify/Order/5307069268101,Art Culinaire #149,1,Barcode does not start with 978
gid://shopify/Order/5307106984069,Kitchen Arts & Letters Gift Card - $250.00,1,Barcode does not start with 978
gid://shopify/Order/5307269742725,OP: Adam's Luxury and Eve's Cookery,1,Barcode does not start with 978
gid://shopify/Order/5307272036485,Err: Urban Rustic Thai,1,Barcode does not start with 978
gid://shopify/Order/5307308507269,OP: Lucky Peach Vol 15,1,Barcode does not start with 978
gid://shopify/Order/5307308507269,OP: Lucky Peach Vol 3,1,Barcode does not start with 978
gid://shopify/Order/5307308507269,OP: Lucky Peach Vol 10,1,Barcode does not start with 978
gid://shopify/Order/5307308507269,OP: Alchemist's Cookbook (paperback),1,Barcode does not start with 978
gid://shopify/Order/5307308507269,OP: Lucky Peach Vol 2,1,Barcode does not start with 978
gid://shopify/Order/5307573698693,Kitchen Arts & Letters Gift Card - $50.00,1,Barcode does not start with 978
gid://shopify/Order/5307725054085,Eaten #17: The Food History Magazine,1,Barcode does not start with 978
gid://shopify/Order/5307725054085,Eaten #21: The Food History Magazine,1,Barcode does not start with 978
gid://shopify/Order/5307733344389,OP: Alice's Restaurant Cookbook,1,Missing variant
gid://shopify/Order/5307756675205,The Irish Bakery,1,Barcode does not start with 978
gid://shopify/Order/5307787182213,OP: Alchemist's Cookbook (paperback),1,Barcode does not start with 978
gid://shopify/Order/5307808252037,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5307825782917,Midweek Recipes: Simple Cooking from an Edinburgh Studio,1,Barcode does not start with 978
gid://shopify/Order/5307826307205,Kitchen Arts & Letters Gift Card - $25.00,1,Barcode does not start with 978
gid://shopify/Order/5307851899013,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5307874279557,Midweek Recipes: Simple Cooking from an Edinburgh Studio,1,Barcode does not start with 978
gid://shopify/Order/5307881128069,Bag Fee Imposed by NYS/NYC,2,Barcode does not start with 978
gid://shopify/Order/5307921072261,Art Culinaire #150,1,Barcode does not start with 978
gid://shopify/Order/5307956887685,Cookbook Club: Food of the Italian Islands,1,Barcode does not start with 978
gid://shopify/Order/5308017016965,OP: Martha Stewart’s Hors D’Oeuvres,1,Missing variant
gid://shopify/Order/5308017016965,OP: Entertaining,1,Missing variant
gid://shopify/Order/5308017016965,Bag Fee Imposed by NYS/NYC,2,Barcode does not start with 978
gid://shopify/Order/5308046311557,Cherry Bombe 28,1,Barcode does not start with 978
gid://shopify/Order/5308046311557,Cherry Bombe 27 Jeni,1,Barcode does not start with 978
gid://shopify/Order/5308046311557,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5308053684357,Bag Fee Imposed by NYS/NYC,2,Barcode does not start with 978
gid://shopify/Order/5308088746117,Midweek Recipes: Simple Cooking from an Edinburgh Studio,1,Barcode does not start with 978
gid://shopify/Order/5308133507205,Saveur Magazine—Fall/Winter 2024,1,Barcode does not start with 978
gid://shopify/Order/5308136423557,Bag Fee Imposed by NYS/NYC,1,Barcode does not start with 978
gid://shopify/Order/5308286566533,Art Culinaire #115,1,Barcode does not start with 978
gid://shopify/Order/5308324610181,OP: Frog Commissary Cookbook,1,Missing variant
gid://shopify/Order/5308393586821,McAtlas: A Global Guide to the Golden Arches (standard edition),1,Barcode does not start with 978
gid://shopify/Order/5308612640901,McAtlas: A Global Guide to the Golden Arches (signed special edition),1,Barcode does not start with 978
gid://shopify/Order/5308686008453,Made Here: Recipes & Reflections From NYC's Asian Communities,1,Barcode does not start with 978
gid://shopify/Order/5308801253509,Cookbook Club: The Scottish Kitchen,1,Barcode does not start with 978
gid://shopify/Order/5308801253509,Cookbook Club: Code Noir,1,Barcode does not start with 978
gid://shopify/Order/5308801253509,Cookbook Club: Food of the Italian Islands,1,Barcode does not start with 978
gid://shopify/Order/5308801253509,Winter 2025 Cookbook Club,1,Barcode does not start with 978
gid://shopify/Order/5308877865093,McAtlas: A Global Guide to the Golden Arches (standard edition),1,Barcode does not start with 978
