ISBN,Title,Current_Pub_Date,Suggested_Pub_Date,Action,Notes,Priority
9789401487832,The Chocolatier's Shop,2024-06-05,2025-05-28,Verify date,Date in past but still in preorder collection,High
9781487500702,Marvelous Vegetables in the English Renaissance,2025-04-22,2025-05-28,Verify date,Date in past but still in preorder collection,High
9781984861443,The Scarr's Pizza Cookbook: New York-Style Pizza for Everybody,2025-03-25,2025-05-28,Verify date,Date in past but still in preorder collection,High
9780063436152,Change the Recipe: Because You Can't Build a Better World Without Breaking Some Eggs,2025-04-22,2025-05-28,Verify date,Date in past but still in preorder collection,High
