Order ID,Product Name,Barcode/ISBN,Quantity,Reason
gid://shopify/Order/5368362172549,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5368374395013,The Irish Bakery,N/A,1,No barcode
gid://shopify/Order/5368469258373,Midweek Recipes: Simple Cooking from an Edinburgh Studio,N/A,1,No barcode
gid://shopify/Order/5368831934597,Cookbook Club: Code Noir,N/A,1,No barcode
gid://shopify/Order/5369007865989,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5369041354885,Tables of Contents Digest 2023-2024,N/A,1,No barcode
gid://shopify/Order/5369174098053,Tomatoes : a Country Garden Cookbook,2553430,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5369174098053,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5369185599621,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5369282986117,Card 4.95,card495,2,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5369326796933,Wild Apple Exhibition: Pomological Series Volume 3,APPLE 3,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5369376309381,OP: Alchemist's Cookbook (paperback),N/A,1,No barcode
gid://shopify/Order/5369965183109,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5369999818885,OP: Fool #1,N/A,1,No variant information
gid://shopify/Order/5369999818885,OP: Fool #2,N/A,1,No variant information
gid://shopify/Order/5370029408389,Card 4.95,card495,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5370035994757,Bag Fee Imposed by NYS/NYC,B,2,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5370060439685,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5370086817925,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5370102939781,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5370136100997,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5370161987717,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5370179944581,Postcard<<<<<<<<<<<<<<<<<,PC92,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5370191904901,Card 4.95,card495,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5370191904901,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5370206847109,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5370455195781,In the Kusina: My Seasonal Filipino Cooking,9781797227849,1,Future Pub Date: 2025-04-08
gid://shopify/Order/5370470760581,Boustany: A Celebration of Vegetables from My Palestine,9781984863188,1,Future Pub Date: 2025-07-15
gid://shopify/Order/5370627522693,Boustany: A Celebration of Vegetables from My Palestine,9781984863188,1,Future Pub Date: 2025-07-15
gid://shopify/Order/5370660585605,"Sunny Days, Taco Nights",9781838669881,1,Future Pub Date: 2025-06-03
gid://shopify/Order/5370660585605,Fat + Flour: The Art of a Simple Bake,9780593801789,1,Future Pub Date: 2025-04-08
gid://shopify/Order/5370669072517,Seasons of Greens: A Collection of New Recipes from the Iconic San Francisco Restaurant,9798886741438,1,Future Pub Date: 2025-04-22
gid://shopify/Order/5370676772997,Morgenstern's Finest Ice Cream: A Cookbook,9780593534847,1,Future Pub Date: 2025-06-17
gid://shopify/Order/5370691551365,"Salt, Sugar, MSG: Recipes and Stories from a Cantonese American Home",9780593582084,1,Future Pub Date: 2025-03-18
gid://shopify/Order/5370719469701,Seasons of Greens: A Collection of New Recipes from the Iconic San Francisco Restaurant,9798886741438,1,Future Pub Date: 2025-04-22
gid://shopify/Order/5370735788165,"Sunny Days, Taco Nights",9781838669881,1,Future Pub Date: 2025-06-03
gid://shopify/Order/5370743095429,The Scarr's Pizza Cookbook: New York-Style Pizza for Everybody,9781984861443,1,Preorder Collection
gid://shopify/Order/5370743685253,Boustany: A Celebration of Vegetables from My Palestine,9781984863188,1,Future Pub Date: 2025-07-15
gid://shopify/Order/5370760298629,Postcard<<<<<<<<<<<<<<<<<,PC92,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5370760298629,"Menu No 7: Smoke, Passion Fruit, Cilantro, Lime, Lemon",N/A,1,No barcode
gid://shopify/Order/5370770817157,OP: Encyclopedia of Practical Gastronomy,N/A,1,No variant information
gid://shopify/Order/5370786218117,OP: A Good Heart and a Light Hand (unsigned),N/A,1,No barcode
gid://shopify/Order/5370790936709,"Kwéyòl/Creole: Recipes, Stories, and Tings from a St. Lucian Chef's Journey",9780593578971,1,Future Pub Date: 2025-04-01
gid://shopify/Order/5370803748997,Noma in Kyoto,N/A,1,No barcode
gid://shopify/Order/5370871545989,KAL Hat in White with Blue Embroidery (in store),F: 46368172,2,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5370871545989,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5370879836293,The Scarr's Pizza Cookbook: New York-Style Pizza for Everybody,9781984861443,1,Preorder Collection
gid://shopify/Order/5370890584197,"Menu No 1: Rabbit, Winter Squash, Eggplant, Anchovy, Almond",N/A,1,No barcode
gid://shopify/Order/5370890584197,"Menu No 2: Chicken, Aromatic Herbs, Fennel, Chili, Orange, Fig, Buttermilk",N/A,1,No barcode
gid://shopify/Order/5370890584197,"Menu No 3:  Lobster, Smoke, Allium, Tomato, Vanilla, Olive Oil",N/A,1,No barcode
gid://shopify/Order/5370890584197,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5370892189829,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5370914668677,Card 4.95,card495,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5370915586181,The Scarr's Pizza Cookbook: New York-Style Pizza for Everybody,9781984861443,1,Preorder Collection
gid://shopify/Order/5370915586181,"Kwéyòl/Creole: Recipes, Stories, and Tings from a St. Lucian Chef's Journey",9780593578971,1,Future Pub Date: 2025-04-01
gid://shopify/Order/5370915586181,"Arthurs: Home of the Nosh, A Big Personality Cookbook of Delicious Jewish Favorites",9780525612285,1,Future Pub Date: 2025-05-06
gid://shopify/Order/5370915586181,Morgenstern's Finest Ice Cream: A Cookbook,9780593534847,1,Future Pub Date: 2025-06-17
gid://shopify/Order/5370926989445,Busy Ideas for Bored Kids Kitchen Edition,0810073343054,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5370926989445,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5370965262469,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5370987708549,"Salt, Sugar, MSG: Recipes and Stories from a Cantonese American Home",9780593582084,1,Future Pub Date: 2025-03-18
gid://shopify/Order/5370988691589,Boustany: A Celebration of Vegetables from My Palestine,9781984863188,1,Future Pub Date: 2025-07-15
gid://shopify/Order/5371007336581,Boustany: A Celebration of Vegetables from My Palestine,9781984863188,1,Future Pub Date: 2025-07-15
gid://shopify/Order/5371014905989,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5371018412165,Card 4.95,card495,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5371021754501,"Menu No 1: Rabbit, Winter Squash, Eggplant, Anchovy, Almond",N/A,1,No barcode
gid://shopify/Order/5371024441477,Morgenstern's Finest Ice Cream: A Cookbook,9780593534847,2,Future Pub Date: 2025-06-17
gid://shopify/Order/5371039842437,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5371047772293,Tropical vegetables,N/A,1,No variant information
gid://shopify/Order/5371051278469,"The Book of Pies, Volume 1 Pastry and Meat Pies: 1580-1660",1858040582,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5371052458117,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5371060453509,Bag Fee Imposed by NYS/NYC,B,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5371063042181,"Salt, Sugar, MSG: Recipes and Stories from a Cantonese American Home",9780593582084,1,Future Pub Date: 2025-03-18
gid://shopify/Order/5371063042181,Ghana to the World: Recipes and Stories That Look Forward While Honoring the Past,9780593234778,1,Future Pub Date: 2025-03-11
gid://shopify/Order/5371063042181,"Sunny Days, Taco Nights",9781838669881,1,Future Pub Date: 2025-06-03
gid://shopify/Order/5371063042181,In the Kusina: My Seasonal Filipino Cooking,9781797227849,1,Future Pub Date: 2025-04-08
gid://shopify/Order/5371100364933,"Tacos CDMX, Second Edition",N/A,1,No barcode
gid://shopify/Order/5371100364933,Morgenstern's Finest Ice Cream: A Cookbook,9780593534847,1,Future Pub Date: 2025-06-17
gid://shopify/Order/5371100364933,"Sunny Days, Taco Nights",9781838669881,1,Future Pub Date: 2025-06-03
gid://shopify/Order/5371100364933,Fat + Flour: The Art of a Simple Bake,9780593801789,1,Future Pub Date: 2025-04-08
