Order ID,Product Name,Barcode/ISBN,Quantity,Reason
gid://shopify/Order/5548032098437,"Menu No 3:  Lobster, Smoke, Allium, Tomato, Vanilla, Olive Oil",N/A,1,No barcode
gid://shopify/Order/5548032098437,"Menu No 1: Rabbit, Winter Squash, Eggplant, Anchovy, Almond",N/A,1,No barcode
gid://shopify/Order/5548032098437,Vittles Issue 1 (spring 2025),VIT1,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5548107890821,Midweek Recipes: Simple Cooking from an Edinburgh Studio,N/A,1,No barcode
gid://shopify/Order/5548362039429,Weekend Recipes,9781068691119,1,Preorder Collection
gid://shopify/Order/5548362039429,Midweek Recipes: Simple Cooking from an Edinburgh Studio,N/A,1,No barcode
gid://shopify/Order/5548380782725,The Loaves and Fishes Cookbook [2nd Ed],PUMP,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5548403392645,OP: Alchemist's Cookbook (paperback),N/A,1,No barcode
gid://shopify/Order/5548493897861,"Linger: Salads, Sweets, and Stories to Savor",9780593804193,2,Preorder Collection
gid://shopify/Order/5548524667013,On Meat: Modern Recipes for the Home Kitchen,9781837290864,1,Preorder Collection
gid://shopify/Order/5548524667013,Japanese Culinary Academy 5-Volume Set,JCA5VOL,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5548619038853,"Linger: Salads, Sweets, and Stories to Savor",9780593804193,1,Preorder Collection
gid://shopify/Order/5548698730629,Le Bistrot Paul Bert: French Comfort Food from the Parisian Restaurant,9781419784002,1,Preorder Collection
gid://shopify/Order/5548698730629,Mokonuts: The Cookbook,9781837290062,1,Preorder Collection
gid://shopify/Order/5548698730629,Japanese Culinary Academy 5-Volume Set,JCA5VOL,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5548698730629,Turtle Island: Foods and Traditions of the Indigenous Peoples of North America,9780593579237,1,Preorder Collection
gid://shopify/Order/5549186384005,OP: The Sunset Casserole Book,N/A,1,No variant information
gid://shopify/Order/5549197066373,Bag Fee Imposed by NYS/NYC,BAG,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5549210239109,Good Things: Recipes and Rituals to Share with People You Love,9781984857781,1,Preorder Collection
gid://shopify/Order/5549210239109,"Dorie’s Anytime Cakes: Simple, Simpler, Simplest",9780063346963,1,Preorder Collection
gid://shopify/Order/5549228884101,Weekend Recipes,9781068691119,1,Preorder Collection
gid://shopify/Order/5549228884101,Midweek Recipes: Simple Cooking from an Edinburgh Studio,N/A,1,No barcode
gid://shopify/Order/5549273743493,OP: Vintage Magazine Ad (C),AD C,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5549273743493,Bag Fee Imposed by NYS/NYC,BAG,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5549303824517,Postcard<<<<<<<<<<<<<<<<<,PC92,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5549303824517,OP: My Grandmother’s Cookery Book,N/A,1,No variant information
gid://shopify/Order/5549303824517,Bag Fee Imposed by NYS/NYC,BAG,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5549384794245,Midweek Recipes: Simple Cooking from an Edinburgh Studio,N/A,1,No barcode
gid://shopify/Order/5549384794245,Weekend Recipes,9781068691119,1,Preorder Collection
gid://shopify/Order/5549455540357,Drift Vol. 6: Mexico City,DRIFT 6,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5549455540357,Drift Vol. 3: Havana,DRIFT 3,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5549482836101,KAL Postcard,KALPOSTCARD,2,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5549486243973,Bag Fee Imposed by NYS/NYC,BAG,2,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5549498826885,Bag Fee Imposed by NYS/NYC,BAG,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5549500072069,Bag Fee Imposed by NYS/NYC,BAG,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5549664174213,Cookbook Club: Chef's Kitchen Supplement - July: Handmade Pasta,N/A,1,No barcode
gid://shopify/Order/5549835518085,"Tacos CDMX, Second Edition",N/A,1,No barcode
gid://shopify/Order/5550169849989,Chocolat: Parisian Desserts and Other Delights,9781668051993,1,Preorder Collection
gid://shopify/Order/5550169849989,Weekend Recipes,9781068691119,1,Preorder Collection
gid://shopify/Order/5550336278661,Saveur Spring/Summer 2025,N/A,1,No barcode
gid://shopify/Order/5550336278661,Bag Fee Imposed by NYS/NYC,BAG,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5550338801797,Postcard<<<<<<<<<<<<<<<<<,PC92,2,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5550406238341,Magazine F: Water Issue 30,MAG F 30,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5550443626629,Bag Fee Imposed by NYS/NYC,BAG,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5550445494405,"Menu No 11: Duck, Orange, Cinnamon, Beets, Apple, Lime",N/A,1,No barcode
gid://shopify/Order/5550467252357,Bag Fee Imposed by NYS/NYC,BAG,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5550483865733,Septime (English),9781838662202,1,Publication date passed but still in Preorder collection (no inventory)
gid://shopify/Order/5550486978693,Weekend Recipes,9781068691119,1,Preorder Collection
gid://shopify/Order/5550486978693,Midweek Recipes: Simple Cooking from an Edinburgh Studio,N/A,1,No barcode
gid://shopify/Order/5550525907077,Card 4.95,card495,3,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5550525907077,Bag Fee Imposed by NYS/NYC,BAG,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5550538489989,Para Llevar Issue 4: Vern's,N/A,1,No barcode
gid://shopify/Order/5550541406341,Bag Fee Imposed by NYS/NYC,BAG,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5550550974597,OP: Alchemist's Cookbook (paperback),N/A,1,No barcode
gid://shopify/Order/5550550974597,OP Magic with Leftovers,N/A,1,No variant information
gid://shopify/Order/5550550974597,OP: Bread by Adrian Bailey,N/A,1,No variant information
gid://shopify/Order/5550551662725,Bag Fee Imposed by NYS/NYC,BAG,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5550559395973,Bag Fee Imposed by NYS/NYC,BAG,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5550560280709,Bag Fee Imposed by NYS/NYC,BAG,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5550560936069,Bag Fee Imposed by NYS/NYC,BAG,1,Not an ISBN (does not start with 978 or 979)
gid://shopify/Order/5550628765829,"Korean Temple Cooking: Lessons on Life and Buddhism, with Recipes",9781964786186,1,Preorder Collection
gid://shopify/Order/5550639448197,"Dorie’s Anytime Cakes: Simple, Simpler, Simplest",9780063346963,1,Preorder Collection
gid://shopify/Order/5550639448197,"The Heart-Shaped Tin: Love, Loss, and Kitchen Objects",9781324079248,1,Preorder Collection
gid://shopify/Order/5550639448197,Good Things: Recipes and Rituals to Share with People You Love,9781984857781,1,Preorder Collection
gid://shopify/Order/5550639448197,Something from Nothing,9781984826411,1,Preorder Collection
gid://shopify/Order/5550639448197,"Linger: Salads, Sweets, and Stories to Savor",9780593804193,1,Preorder Collection
gid://shopify/Order/5550639448197,Six Seasons of Pasta: A New Way with Everyone's Favorite Food,9781648291920,1,Preorder Collection
gid://shopify/Order/5550667956357,Six Seasons of Pasta: A New Way with Everyone's Favorite Food,9781648291920,1,Preorder Collection
gid://shopify/Order/5550667956357,On Meat: Modern Recipes for the Home Kitchen,9781837290864,1,Preorder Collection
gid://shopify/Order/5550712389765,Cookbook Club: Chef's Kitchen Supplement - July: Handmade Pasta,N/A,1,No barcode
